aus_rojo,aus_negro,aus_par,aus_impar,aus_1-18,aus_19-36,velocidad,dir_bin,jugadores,hora_norm,target
1,3,75,75,75,75,49.467833113196605,0,0.5,0.4782608695652174,5.0
1,4,76,76,76,76,62.918047782222,0,0.65,0.4782608695652174,35.0
2,1,77,77,77,77,59.0613692515957,1,0.65,0.4782608695652174,35.0
3,1,78,78,78,78,55.85548891954469,0,0.5,0.4782608695652174,0.0
4,2,79,79,79,79,69.64126728244555,0,0.65,0.4782608695652174,32.0
1,3,80,80,80,80,50.76923205507816,0,0.0,0.4782608695652174,25.0
1,4,81,81,81,81,51.4822723018976,1,0.9,0.4782608695652174,15.0
2,1,82,82,82,82,49.37058093246926,1,0.9,0.4782608695652174,7.0
1,2,83,83,83,83,44.043570871738645,1,0.95,0.5217391304347826,11.0
2,1,84,84,84,84,54.235314920680814,0,0.95,0.5217391304347826,9.0
1,2,85,85,85,85,50.875806181790985,1,0.5,0.5217391304347826,21.0
1,3,86,86,86,86,56.24980451923094,0,0.5,0.5217391304347826,28.0
2,1,87,87,87,87,60.60418360992194,1,0.75,0.5217391304347826,1.0
1,2,88,88,88,88,45.14355027137396,0,0.8,0.5217391304347826,31.0
2,1,89,89,89,89,49.59737691752783,1,0.5,0.5217391304347826,1.0
1,2,90,90,90,90,52.96965530299451,0,1.0,0.5217391304347826,16.0
1,3,91,91,91,91,56.2843691045488,1,0.75,0.6521739130434783,15.0
2,1,92,92,92,92,45.38481989487733,1,0.65,0.6521739130434783,23.0
1,2,93,93,93,93,57.22042313818659,1,0.5,0.6521739130434783,7.0
1,3,94,94,94,94,55.54420316824197,0,0.5,0.6521739130434783,9.0
1,4,95,95,95,95,47.86109664003195,1,0.5,0.6521739130434783,3.0
1,5,96,96,96,96,44.539960941820105,0,0.5,0.6521739130434783,13.0
2,1,97,97,97,97,46.53566118218108,1,0.5,0.6521739130434783,15.0
3,1,98,98,98,98,45.3829898990442,1,0.0,0.6521739130434783,15.0
4,1,99,99,99,99,38.75237594601661,0,0.65,0.6521739130434783,32.0
1,2,100,100,100,100,48.25015121732866,1,0.5,0.6521739130434783,30.0
1,3,101,101,101,101,48.7314131303831,0,0.5,0.6521739130434783,18.0
1,4,102,102,102,102,45.74212364423888,1,0.5,0.6521739130434783,28.0
2,1,103,103,103,103,51.94119373020423,0,0.55,0.6521739130434783,31.0
3,1,104,104,104,104,37.27729079967651,0,0.0,0.6956521739130435,25.0
1,2,105,105,105,105,53.26898128217496,1,0.0,0.6956521739130435,15.0
2,1,106,106,106,106,46.32701395016688,0,0.0,0.6956521739130435,22.0
3,1,107,107,107,107,54.17918195658651,1,0.0,0.6956521739130435,10.0
4,1,108,108,108,108,55.87844878385901,0,0.0,0.6956521739130435,25.0
1,2,109,109,109,109,50.38531534947183,1,0.0,0.6956521739130435,22.0
2,1,110,110,110,110,46.98849110497946,0,0.0,0.6956521739130435,25.0
1,2,111,111,111,111,45.17742140326567,1,0.0,0.6956521739130435,31.0
2,1,112,112,112,112,53.40727430822265,0,0.5,0.6956521739130435,24.0
3,1,113,113,113,113,47.29867882781196,1,0.5,0.6956521739130435,26.0
4,1,114,114,114,114,46.32848195788571,0,0.5,0.6956521739130435,28.0
5,1,115,115,115,115,55.19151159297417,1,0.65,0.6956521739130435,31.0
6,1,116,116,116,116,52.886253381081765,0,0.5,0.6956521739130435,0.0
7,2,117,117,117,117,42.94864255188588,0,0.5,0.6956521739130435,3.0
1,3,118,118,118,118,56.245784655774735,0,0.6,0.6956521739130435,34.0
1,4,119,119,119,119,43.39066468713022,1,0.5,0.6956521739130435,19.0
1,5,120,120,120,120,56.43871104379112,1,0.65,0.6956521739130435,21.0
1,6,121,121,121,121,42.26090360887835,0,0.5,0.6956521739130435,35.0
2,1,122,122,122,122,49.42929121870407,1,0.0,0.6956521739130435,33.0
3,1,123,123,123,123,49.31350006786079,0,0.0,0.6956521739130435,21.0
1,2,124,124,124,124,46.19132185028278,1,0.0,0.6956521739130435,13.0
2,1,125,125,125,125,46.19894140520418,0,0.0,0.6956521739130435,4.0
3,1,126,126,126,126,62.79690802138697,0,0.5,0.6956521739130435,29.0
4,1,127,127,127,127,53.70127861817849,1,0.65,0.6956521739130435,12.0
1,2,128,128,128,128,52.94835538676491,0,0.5,0.6956521739130435,22.0
2,1,129,129,129,129,45.76147229330119,1,0.6,0.6956521739130435,23.0
1,2,130,130,130,130,50.99344821136521,1,0.5,0.7391304347826086,15.0
2,1,131,131,131,131,44.78395893968796,0,0.6,0.7391304347826086,23.0
1,2,132,132,132,132,44.96749064221905,1,0.5,0.7391304347826086,14.0
1,3,133,133,133,133,45.61639297872248,0,0.5,0.7391304347826086,2.0
2,1,134,134,134,134,40.55489300858669,1,0.5,0.7391304347826086,1.0
1,2,135,135,135,135,39.04965915989534,0,0.5,0.7391304347826086,28.0
2,1,136,136,136,136,53.44316948081334,1,0.5,0.7391304347826086,5.0
1,2,137,137,137,137,68.39938716677744,0,0.5,0.7391304347826086,9.0
1,3,138,138,138,138,59.82786323831858,1,0.5,0.7391304347826086,5.0
1,4,139,139,139,139,59.42464891810204,0,0.5,0.7391304347826086,32.0
1,5,140,140,140,140,43.5336022527253,1,0.5,0.7391304347826086,19.0
1,6,141,141,141,141,54.51785105921328,0,0.5,0.7391304347826086,28.0
2,1,142,142,142,142,60.110864398626745,1,0.5,0.7391304347826086,7.0
1,2,143,143,143,143,62.200163989045016,0,0.5,0.7391304347826086,28.0
2,1,144,144,144,144,47.335035509530606,1,0.5,0.7391304347826086,11.0
3,1,145,145,145,145,55.53371604374716,0,0.5,0.7391304347826086,2.0
4,1,146,146,146,146,60.41225837503999,1,0.5,0.7391304347826086,16.0
1,2,147,147,147,147,48.76677975441783,0,0.5,0.7391304347826086,13.0
2,1,148,148,148,148,47.72695566197738,1,0.5,0.7391304347826086,29.0
3,1,149,149,149,149,55.94109357804606,0,0.5,0.7391304347826086,11.0
4,1,150,150,150,150,53.24186196352178,1,0.5,0.7391304347826086,32.0
1,2,151,151,151,151,47.62021570396149,0,0.5,0.7391304347826086,15.0
2,1,152,152,152,152,58.27377955906656,1,0.5,0.7391304347826086,26.0
3,1,153,153,153,153,53.35922510944216,0,0.5,0.7391304347826086,4.0
4,1,154,154,154,154,59.79884891160263,1,0.5,0.7391304347826086,8.0
5,1,155,155,155,155,49.812858134714645,1,0.5,0.782608695652174,7.0
1,2,156,156,156,156,49.86790095704052,0,0.5,0.782608695652174,23.0
1,3,157,157,157,157,40.457655841666906,1,0.5,0.782608695652174,20.0
2,1,158,158,158,158,44.8181239397232,0,0.5,0.782608695652174,8.0
3,1,159,159,159,159,46.74709399206048,1,0.5,0.782608695652174,3.0
1,2,160,160,160,160,54.94183382961459,1,0.5,0.782608695652174,10.0
2,1,161,161,161,161,50.96425388097244,0,0.55,0.782608695652174,11.0
3,1,162,162,162,162,48.51592570552662,1,0.5,0.782608695652174,24.0
4,1,163,163,163,163,50.43758851702364,0,0.65,0.782608695652174,20.0
5,1,164,164,164,164,53.155907023289735,1,0.5,0.782608695652174,2.0
6,1,165,165,165,165,58.69005910556041,0,0.65,0.782608695652174,22.0
7,1,166,166,166,166,52.14511691134579,1,0.5,0.8260869565217391,34.0
1,2,167,167,167,167,37.06463968654838,0,0.5,0.8260869565217391,32.0
1,3,168,168,168,168,47.74836298932845,1,0.5,0.8260869565217391,30.0
1,4,169,169,169,169,55.27636581446162,0,0.5,0.8260869565217391,13.0
2,1,170,170,170,170,54.213845099365074,1,0.5,0.8260869565217391,27.0
1,2,171,171,171,171,53.16595983506791,0,0.5,0.8260869565217391,1.0
1,3,172,172,172,172,44.18095882512547,1,0.5,0.8260869565217391,29.0
2,1,173,173,173,173,48.72713527558922,0,0.5,0.8260869565217391,17.0
3,1,174,174,174,174,40.36055619810014,1,0.5,0.8260869565217391,12.0
1,2,175,175,175,175,47.70865284791862,0,0.5,0.8260869565217391,2.0
2,1,176,176,176,176,47.540874960524185,1,0.5,0.8260869565217391,24.0
3,1,177,177,177,177,64.02631865035423,1,0.5,0.8695652173913043,26.0
4,1,178,178,178,178,58.44440350244832,0,0.5,0.8695652173913043,10.0
5,1,179,179,179,179,46.73742975161571,1,0.65,0.8695652173913043,29.0
6,1,180,180,180,180,54.38486540495367,0,0.5,0.8695652173913043,5.0
1,2,181,181,181,181,58.66915047782756,1,0.55,0.8695652173913043,20.0
2,1,182,182,182,182,53.50569331860095,0,0.5,0.8695652173913043,21.0
1,2,183,183,183,183,47.13984679510789,1,0.5,0.8695652173913043,2.0
2,1,184,184,184,184,54.48538470857866,0,0.5,0.8695652173913043,21.0
1,2,185,185,185,185,48.73764854723032,1,0.5,0.8695652173913043,7.0
1,3,186,186,186,186,51.965370432639695,0,0.5,0.8695652173913043,12.0
1,4,187,187,187,187,53.74290221210307,1,0.5,0.8695652173913043,32.0
1,5,188,188,188,188,40.22552487193009,0,0.5,0.8695652173913043,11.0
2,1,189,189,189,189,52.92333981698198,0,0.5,0.8695652173913043,2.0
3,1,190,190,190,190,52.61662281832528,1,0.5,0.8695652173913043,10.0
4,1,191,191,191,191,55.76916396343008,0,0.5,0.8695652173913043,18.0
1,2,192,192,192,192,57.04705714917068,1,0.65,0.8695652173913043,13.0
2,1,193,193,193,193,43.65452058662244,1,0.65,0.8695652173913043,32.0
1,2,194,194,194,194,46.9273584459481,0,0.5,0.8695652173913043,25.0
1,3,195,195,195,195,47.6712604841774,1,0.5,0.8695652173913043,14.0
1,4,196,196,196,196,47.05568449508064,0,0.5,0.8695652173913043,16.0
1,5,197,197,197,197,53.76747712171323,1,0.5,0.8695652173913043,4.0
2,1,198,198,198,198,51.256466552134064,0,0.5,0.8695652173913043,17.0
3,1,199,199,199,199,46.29266190155287,1,0.5,0.8695652173913043,4.0
4,1,200,200,200,200,52.13485201341747,0,0.5,0.8695652173913043,34.0
1,2,201,201,201,201,50.88469656128779,1,0.5,0.8695652173913043,7.0
1,3,202,202,202,202,59.01290683988961,0,0.5,0.8695652173913043,12.0
1,4,203,203,203,203,49.40628152736437,1,0.5,0.8695652173913043,18.0
1,5,204,204,204,204,40.008470538750586,0,0.5,0.8695652173913043,27.0
1,6,205,205,205,205,44.87821956075924,0,0.5,0.8695652173913043,32.0
1,7,206,206,206,206,42.37805934242932,0,0.5,0.8695652173913043,20.0
2,1,207,207,207,207,50.54075026787555,0,0.5,0.8695652173913043,32.0
1,2,208,208,208,208,45.40671075700022,1,0.5,0.8695652173913043,2.0
2,1,209,209,209,209,42.64905019059349,0,0.65,0.8695652173913043,23.0
1,2,210,210,210,210,45.51277943189165,1,0.5,0.8695652173913043,36.0
1,3,211,211,211,211,50.54656493803644,0,0.7,0.8695652173913043,6.0
2,1,212,212,212,212,55.07752577139187,1,0.65,0.8695652173913043,35.0
3,1,213,213,213,213,53.76450577722579,0,0.5,0.8695652173913043,27.0
1,2,214,214,214,214,50.38755930643162,1,0.5,0.8695652173913043,23.0
1,3,215,215,215,215,48.47593872319933,0,0.5,0.8695652173913043,20.0
2,1,216,216,216,216,47.55929748522402,1,0.65,0.8695652173913043,9.0
1,2,217,217,217,217,45.63620584258355,0,0.75,0.8695652173913043,0.0
2,3,218,218,218,218,55.76937880077816,1,0.65,0.8695652173913043,24.0
3,1,219,219,219,219,47.80719357786867,0,0.5,0.8695652173913043,0.0
4,2,220,220,220,220,38.77325302703689,1,0.45,0.8695652173913043,19.0
1,3,221,221,221,221,47.605254632162776,0,0.5,0.8695652173913043,7.0
1,4,222,222,222,222,38.73078340458133,0,0.65,0.6086956521739131,27.0
1,5,223,223,223,223,45.53751260856129,1,0.0,0.6086956521739131,16.0
1,6,224,224,224,224,40.05835502502216,0,0.0,0.6086956521739131,26.0
2,1,225,225,225,225,51.4009689806982,0,0.5,0.6086956521739131,7.0
1,2,226,226,226,226,53.77681117588074,1,0.5,0.6086956521739131,29.0
2,1,227,227,227,227,52.4866273724536,0,0.0,0.6086956521739131,5.0
1,2,228,228,228,228,58.97459560634297,1,0.9,0.6086956521739131,4.0
2,1,229,229,229,229,47.83660017207054,0,0.5,0.6086956521739131,24.0
3,1,230,230,230,230,54.2148664386684,1,0.0,0.6086956521739131,32.0
1,2,231,231,231,231,62.91104548402016,0,0.0,0.6086956521739131,34.0
1,3,232,232,232,232,56.63275979073365,1,0.0,0.6086956521739131,14.0
1,4,233,233,233,233,58.511134906356354,0,0.0,0.6086956521739131,17.0
2,1,234,234,234,234,60.130291647398735,1,0.0,0.6086956521739131,15.0
3,1,235,235,235,235,54.058169151465314,0,0.0,0.6086956521739131,30.0
1,2,236,236,236,236,53.683740578994126,1,0.0,0.6086956521739131,35.0
2,1,237,237,237,237,50.72122473867179,0,0.65,0.6086956521739131,15.0
3,1,238,238,238,238,49.177513768195865,1,0.0,0.6086956521739131,33.0
4,1,239,239,239,239,58.09076133798518,0,0.0,0.6086956521739131,5.0
1,2,240,240,240,240,57.42880780688296,1,0.0,0.6086956521739131,13.0
2,1,241,241,241,241,56.035817304371335,0,0.75,0.6086956521739131,11.0
3,1,242,242,242,242,56.27964818671848,1,0.8,0.6086956521739131,12.0
1,2,243,243,243,243,57.228340895965296,0,0.65,0.6086956521739131,14.0
1,3,244,244,244,244,48.12608188655217,1,0.65,0.6086956521739131,14.0
1,4,245,245,245,245,54.65455477646712,0,0.65,0.6086956521739131,18.0
1,5,246,246,246,246,54.07078104180381,1,0.65,0.6086956521739131,3.0
1,6,247,247,247,247,51.650805174275575,1,0.75,0.6086956521739131,14.0
1,7,248,248,248,248,44.30906494389652,0,0.9,0.6086956521739131,32.0
1,8,249,249,249,249,39.1862809417459,1,0.0,0.6086956521739131,20.0
2,1,250,250,250,250,60.82123419922375,0,0.0,0.6086956521739131,5.0
1,2,251,251,251,251,42.92097064519385,0,0.0,0.6086956521739131,32.0
1,3,252,252,252,252,49.78509234117572,0,0.0,0.6086956521739131,14.0
1,4,253,253,253,253,46.0367697506654,1,0.0,0.6086956521739131,5.0
1,5,254,254,254,254,48.95476803820892,0,0.0,0.6086956521739131,26.0
2,1,255,255,255,255,64.79328136858014,1,0.0,0.6086956521739131,14.0
1,2,256,256,256,256,54.816211491143264,0,0.65,0.6086956521739131,29.0
2,1,257,257,257,257,57.39657099727484,1,0.5,0.6086956521739131,9.0
1,2,258,258,258,258,47.50765666413554,0,0.0,0.6086956521739131,27.0
1,3,259,259,259,259,53.07041925965368,1,0.0,0.6086956521739131,22.0
2,1,260,260,260,260,53.64153779762905,0,0.0,0.6086956521739131,11.0
3,1,261,261,261,261,47.820622056151,1,0.0,0.6086956521739131,21.0
1,2,262,262,262,262,47.734460983368166,0,0.0,0.6521739130434783,23.0
1,3,263,263,263,263,51.81248750882808,1,0.0,0.6521739130434783,31.0
2,1,264,264,264,264,42.987214753899046,0,0.0,0.6521739130434783,22.0
3,1,265,265,265,265,49.06373340284818,1,0.0,0.6521739130434783,9.0
1,2,266,266,266,266,37.27363155632988,0,0.0,0.6521739130434783,21.0
1,3,267,267,267,267,47.66296094081677,1,0.5,0.6521739130434783,22.0
2,1,268,268,268,268,60.9570562566827,0,0.5,0.6521739130434783,34.0
1,2,269,269,269,269,49.56404219181556,0,0.55,0.6521739130434783,27.0
1,3,270,270,270,270,51.95549125859514,1,0.6,0.6521739130434783,24.0
2,1,271,271,271,271,44.25699887834849,0,0.75,0.6521739130434783,25.0
1,2,272,272,272,272,44.41604525188544,1,0.75,0.6521739130434783,4.0
2,1,273,273,273,273,36.45718979709655,0,0.65,0.6521739130434783,32.0
1,2,274,274,274,274,47.49376006816043,1,0.65,0.6521739130434783,0.0
2,3,275,275,275,275,53.10497734418158,0,0.65,0.6521739130434783,23.0
1,4,276,276,276,276,44.2176256115016,1,0.65,0.6521739130434783,3.0
1,5,277,277,277,277,46.877404742031125,0,0.65,0.6521739130434783,25.0
1,6,278,278,278,278,50.17059669392898,1,0.65,0.6521739130434783,23.0
1,7,279,279,279,279,55.60914287396253,0,0.6,0.6521739130434783,26.0
2,1,280,280,280,280,54.104487105945765,1,0.75,0.6521739130434783,35.0
3,1,281,281,281,281,62.41016674380702,0,0.75,0.6521739130434783,22.0
4,1,282,282,282,282,41.23189510683926,1,0.8,0.6956521739130435,28.0
5,1,283,283,283,283,35.66625443757176,0,0.35,0.6956521739130435,26.0
6,1,284,284,284,284,47.82690162101892,1,0.95,0.6956521739130435,24.0
7,1,285,285,285,285,57.80479228286854,0,0.95,0.6956521739130435,34.0
1,2,286,286,286,286,51.567331186182486,1,0.95,0.6956521739130435,33.0
2,1,287,287,287,287,54.83191807455963,0,0.95,0.6956521739130435,13.0
3,1,288,288,288,288,63.457250467041085,1,0.35,0.6956521739130435,20.0
4,1,289,289,289,289,55.237352568813264,0,0.35,0.6956521739130435,22.0
5,1,290,290,290,290,44.62889875906185,1,0.95,0.6956521739130435,5.0
1,2,291,291,291,291,55.46871393596391,0,0.65,0.4782608695652174,22.0
2,1,292,292,292,292,47.73290919472211,1,0.0,0.4782608695652174,14.0
1,2,293,293,293,293,62.6643486481064,0,0.6,0.4782608695652174,2.0
2,1,294,294,294,294,62.81705304094808,0,0.75,0.4782608695652174,20.0
3,1,295,295,295,295,44.76013028074525,0,0.0,0.4782608695652174,3.0
1,2,296,296,296,296,50.88064295800216,0,0.75,0.4782608695652174,34.0
1,3,297,297,297,297,46.43329806086297,1,0.0,0.4782608695652174,36.0
1,4,298,298,298,298,53.44043945440728,0,0.0,0.4782608695652174,14.0
1,5,299,299,299,299,59.13986266903935,1,0.0,0.4782608695652174,33.0
2,1,300,300,300,300,47.034543053483056,0,0.0,0.4782608695652174,19.0
1,2,301,301,301,301,52.69943477828417,1,0.9,0.4782608695652174,28.0
2,1,302,302,302,302,56.95158337634712,0,0.0,0.5217391304347826,29.0
3,1,303,303,303,303,59.22595922967483,1,0.95,0.5217391304347826,13.0
4,1,304,304,304,304,38.22169444910066,0,0.9,0.5217391304347826,32.0
1,2,305,305,305,305,52.12552879566872,1,0.0,0.5217391304347826,30.0
1,3,306,306,306,306,48.71416515662232,0,0.9,0.5217391304347826,22.0
2,1,307,307,307,307,54.83617698288459,1,0.9,0.5217391304347826,9.0
1,2,308,308,308,308,58.38693008970224,0,0.0,0.5217391304347826,18.0
1,3,309,309,309,309,32.506270491537286,0,0.0,0.5217391304347826,31.0
2,1,310,310,310,310,58.33802354466184,1,0.0,0.5217391304347826,34.0
1,2,311,311,311,311,49.98684819347157,0,0.0,0.5217391304347826,12.0
1,3,312,312,312,312,51.44928906550138,1,0.0,0.5217391304347826,27.0
1,4,313,313,313,313,53.05437458357953,0,0.0,0.5217391304347826,13.0
2,1,314,314,314,314,43.68980204716436,0,0.35,0.5217391304347826,12.0
1,2,315,315,315,315,44.55619784646086,0,0.75,0.5217391304347826,0.0
2,3,316,316,316,316,48.24115670947805,0,0.65,0.6086956521739131,10.0
3,1,317,317,317,317,54.729287077128646,1,0.75,0.6086956521739131,25.0
1,2,318,318,318,318,39.251953332965854,0,0.9,0.6086956521739131,21.0
1,3,319,319,319,319,49.7190994989236,1,0.0,0.6086956521739131,5.0
1,4,320,320,320,320,46.90076698544215,0,0.65,0.6086956521739131,16.0
1,5,321,321,321,321,50.99873259362197,1,0.0,0.6086956521739131,9.0
1,6,322,322,322,322,52.464612850615495,1,0.6,0.6086956521739131,2.0
2,1,323,323,323,323,52.69533780718783,0,0.0,0.7391304347826086,27.0
1,2,324,324,324,324,41.08600538563859,0,0.0,0.7391304347826086,0.0
2,3,325,325,325,325,52.22974647705233,0,0.75,0.7391304347826086,9.0
1,4,326,326,326,326,55.82233490169059,1,0.0,0.7391304347826086,17.0
2,1,327,327,327,327,43.59963878937689,0,0.7,0.7391304347826086,30.0
1,2,328,328,328,328,45.540739782688206,1,0.0,0.7391304347826086,25.0
1,3,329,329,329,329,55.19044815212877,0,0.0,0.7391304347826086,12.0
1,4,330,330,330,330,56.86932534192536,1,0.0,0.7391304347826086,17.0
2,1,331,331,331,331,48.40327455130088,0,0.0,0.7391304347826086,12.0
1,2,332,332,332,332,42.04520520925572,1,0.0,0.7391304347826086,31.0
2,1,333,333,333,333,46.00657166096362,0,0.5,0.7391304347826086,9.0
1,2,334,334,334,334,41.54610978530513,1,0.5,0.7391304347826086,14.0
1,3,335,335,335,335,52.90735363508377,0,0.0,0.7391304347826086,36.0
1,4,336,336,336,336,47.50523953703941,1,0.5,0.7391304347826086,0.0
2,5,337,337,337,337,45.13369363216984,1,0.0,0.9130434782608695,26.0
3,1,338,338,338,338,38.067018728574574,0,0.0,0.9130434782608695,14.0
1,2,339,339,339,339,45.83222294605512,1,0.5,0.9130434782608695,1.0
1,3,340,340,340,340,51.13672255868912,0,0.0,0.9130434782608695,24.0
2,1,341,341,341,341,40.585225034572254,1,0.0,0.9130434782608695,36.0
1,2,342,342,342,342,45.777094350825074,0,0.0,0.9130434782608695,36.0
1,3,343,343,343,343,49.87544439747177,1,0.0,0.9130434782608695,4.0
2,1,344,344,344,344,41.97198400775064,0,0.0,0.9130434782608695,25.0
1,2,345,345,345,345,40.07863668218859,0,0.65,0.9130434782608695,1.0
1,3,346,346,346,346,48.54253274397417,1,0.0,0.9130434782608695,13.0
2,1,347,347,347,347,48.163071930047245,1,0.0,0.9130434782608695,8.0
3,1,348,348,348,348,42.908699206149926,0,0.0,0.9130434782608695,18.0
1,2,349,349,349,349,42.06881734936256,0,0.5,0.9130434782608695,9.0
1,3,350,350,350,350,48.14820715723922,1,0.0,0.9130434782608695,7.0
1,4,351,351,351,351,53.29274771228203,0,0.5,0.9130434782608695,1.0
1,5,352,352,352,352,55.59023112362053,1,0.0,0.9130434782608695,31.0
2,1,353,353,353,353,53.61278834577663,0,0.0,0.9130434782608695,30.0
1,2,354,354,354,354,48.661764219809015,1,0.0,0.9130434782608695,14.0
1,3,355,355,355,355,58.71719781922159,0,0.0,0.9130434782608695,6.0
2,1,356,356,356,356,65.414033861492,1,0.0,0.9130434782608695,9.0
1,2,357,357,357,357,57.29474567459189,0,0.65,0.9130434782608695,9.0
1,3,358,358,358,358,45.95579827783329,1,0.0,0.9130434782608695,28.0
2,1,359,359,359,359,56.300675999407225,0,0.0,0.9130434782608695,13.0
3,1,360,360,360,360,45.00904321109126,0,0.5,0.43478260869565216,9.0
1,2,361,361,361,361,50.49709642282999,1,0.75,0.43478260869565216,26.0
2,1,362,362,362,362,49.89479978092216,0,0.75,0.43478260869565216,9.0
1,2,363,363,363,363,46.94252180897514,1,0.6,0.43478260869565216,25.0
1,3,364,364,364,364,43.70925414427426,1,0.8,0.43478260869565216,34.0
1,4,365,365,365,365,57.02406946850055,0,0.0,0.4782608695652174,25.0
1,5,366,366,366,366,46.08803508073902,0,0.0,0.4782608695652174,22.0
2,1,367,367,367,367,51.372202230936665,0,0.65,0.4782608695652174,17.0
3,1,368,368,368,368,61.01185051988495,0,0.65,0.4782608695652174,15.0
4,1,369,369,369,369,47.429684067284974,1,0.8,0.4782608695652174,20.0
5,1,370,370,370,370,42.83038345051307,0,0.0,0.4782608695652174,20.0
6,1,371,371,371,371,37.43477513785829,1,0.75,0.4782608695652174,14.0
1,2,372,372,372,372,40.38731385431945,0,0.0,0.4782608695652174,14.0
1,3,373,373,373,373,45.38696292724541,0,0.5,0.5217391304347826,25.0
1,4,374,374,374,374,52.22005956626134,1,0.0,0.5217391304347826,6.0
2,1,375,375,375,375,48.48338144172811,0,0.0,0.5217391304347826,8.0
3,1,376,376,376,376,44.94046176984586,1,0.0,0.5217391304347826,16.0
1,2,377,377,377,377,47.40002603277645,1,0.75,0.6521739130434783,16.0
1,3,378,378,378,378,57.63781566164104,0,0.8,0.6521739130434783,19.0
1,4,379,379,379,379,41.223897767132215,0,0.65,0.6521739130434783,26.0
2,1,380,380,380,380,53.332683619573935,0,0.75,0.6521739130434783,27.0
1,2,381,381,381,381,56.34316273205697,1,0.65,0.6521739130434783,3.0
1,3,382,382,382,382,49.34338371536495,0,0.65,0.6521739130434783,11.0
2,1,383,383,383,383,59.94993637439696,1,0.7,0.6521739130434783,18.0
1,2,384,384,384,384,44.73205717549246,0,0.65,0.6521739130434783,32.0
1,3,385,385,385,385,44.17184579964074,1,0.65,0.6521739130434783,11.0
2,1,386,386,386,386,45.677535309202646,0,0.65,0.6521739130434783,6.0
3,1,387,387,387,387,48.08604940470521,1,0.7,0.6521739130434783,31.0
4,1,388,388,388,388,42.39094505388397,0,0.7,0.6521739130434783,22.0
5,1,389,389,389,389,54.37494518697053,1,0.7,0.6521739130434783,34.0
1,2,390,390,390,390,53.60745186537478,0,0.6,0.6521739130434783,21.0
1,3,391,391,391,391,47.888204655336345,1,0.55,0.6521739130434783,19.0
1,4,392,392,392,392,50.67389905181553,0,0.55,0.6521739130434783,1.0
1,5,393,393,393,393,48.03362962641384,1,0.7,0.6521739130434783,20.0
2,1,394,394,394,394,44.60322040610824,0,0.6,0.6521739130434783,18.0
1,2,395,395,395,395,51.44549943424855,1,0.55,0.6521739130434783,20.0
2,1,396,396,396,396,56.019809624817846,0,0.55,0.6521739130434783,31.0
3,1,397,397,397,397,51.55918030110268,1,0.5,0.6521739130434783,1.0
1,2,398,398,398,398,43.53141973712926,0,0.6,0.6521739130434783,16.0
1,3,399,399,399,399,49.07196095764804,0,0.6,0.6521739130434783,8.0
2,1,400,400,400,400,52.68663822933672,0,0.0,0.6521739130434783,26.0
3,1,401,401,401,401,41.09885776708648,1,0.65,0.6521739130434783,13.0
4,1,402,402,402,402,42.21288364773205,0,0.65,0.6521739130434783,31.0
5,1,403,403,403,403,37.18120520131523,1,0.75,0.6521739130434783,5.0
1,2,404,404,404,404,60.23578635504361,0,0.75,0.6521739130434783,20.0
2,1,405,405,405,405,39.13729933980195,1,0.75,0.6956521739130435,34.0
